source_slide,disposition,session,output,block,block_title,rationale
17,mapped,unit2c-part1,Math130Unit2C-part1.html,math130unit2c-u2c-parallel-synthesize,Make It Stick: use parallel-line relationships to solve angle equations,
18,omitted,,,,,Blank transition duplicated by authored chapter structure.
19,mapped,unit2c-part2,Math130Unit2C-part2.html,unit2c-part2-title,"Polygon Area, Triangles, and Similarity",
20,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-polygons-explain,compute polygon angle sums and areas,
21,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-polygons-explain,compute polygon angle sums and areas,
22,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-polygons-model,Model the Skill: compute polygon angle sums and areas,
23,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-polygons-model,Model the Skill: compute polygon angle sums and areas,
24,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-polygons-practice,You Try: compute polygon angle sums and areas,
25,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-polygons-practice,You Try: compute polygon angle sums and areas,
26,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-polygons-feedback,Check and Diagnose: compute polygon angle sums and areas,
27,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-polygons-feedback,Check and Diagnose: compute polygon angle sums and areas,
28,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-polygons-synthesize,Make It Stick: compute polygon angle sums and areas,
29,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-polygons-synthesize,Make It Stick: compute polygon angle sums and areas,
30,mapped,unit2c-part2,Math130Unit2C-part2.html,unit2c-part2-title,"Polygon Area, Triangles, and Similarity",
31,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-triangles-explain,select and apply triangle area and Pythagorean formulas,
32,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-triangles-explain,select and apply triangle area and Pythagorean formulas,
33,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-triangles-model,Model the Skill: select and apply triangle area and Pythagorean formulas,
34,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-triangles-model,Model the Skill: select and apply triangle area and Pythagorean formulas,
35,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-triangles-practice,You Try: select and apply triangle area and Pythagorean formulas,
36,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-triangles-practice,You Try: select and apply triangle area and Pythagorean formulas,
37,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-triangles-feedback,Check and Diagnose: select and apply triangle area and Pythagorean formulas,
38,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-triangles-feedback,Check and Diagnose: select and apply triangle area and Pythagorean formulas,
39,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-triangles-synthesize,Make It Stick: select and apply triangle area and Pythagorean formulas,
40,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-triangles-synthesize,Make It Stick: select and apply triangle area and Pythagorean formulas,
41,mapped,unit2c-part2,Math130Unit2C-part2.html,unit2c-part2-title,"Polygon Area, Triangles, and Similarity",
42,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-similarity-explain,solve similarity proportions and convert navigation angles,
43,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-similarity-explain,solve similarity proportions and convert navigation angles,
44,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-similarity-model,Model the Skill: solve similarity proportions and convert navigation angles,
45,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-similarity-model,Model the Skill: solve similarity proportions and convert navigation angles,
46,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-similarity-practice,You Try: solve similarity proportions and convert navigation angles,
47,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-similarity-practice,You Try: solve similarity proportions and convert navigation angles,
48,mapped,unit2c-part2,Math130Unit2C-part2.html,unit2c-part2-title,"Polygon Area, Triangles, and Similarity",
49,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-similarity-feedback,Check and Diagnose: solve similarity proportions and convert navigation angles,
50,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-similarity-feedback,Check and Diagnose: solve similarity proportions and convert navigation angles,
51,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-similarity-synthesize,Make It Stick: solve similarity proportions and convert navigation angles,
52,mapped,unit2c-part2,Math130Unit2C-part2.html,math130unit2c-u2c-similarity-synthesize,Make It Stick: solve similarity proportions and convert navigation angles,
53,mapped,unit2c-part2,Math130Unit2C-part2.html,unit2c-part2-closing,Session Summary and Exit Ticket,
54,mapped,unit2c-part2,Math130Unit2C-part2.html,unit2c-part2-closing,Session Summary and Exit Ticket,
55,mapped,unit2c-part2,Math130Unit2C-part2.html,unit2c-part2-closing,Session Summary and Exit Ticket,
56,omitted,,,,,Duplicate closing title slide.
57,mapped,unit2c-part2,Math130Unit2C-part2.html,unit2c-part2-closing,Session Summary and Exit Ticket,
